"","x","X2020.03","X2020.06","X2020.09"
"1",NA,101,85,85
"2",NA,93,83,82
"3",NA,9,2,2
"4",NA,9,9,9
"5",NA,5,5,5
"6",NA,0,0,0
"7",NA,NA,NA,NA
"8",NA,0,NA,NA
"9",NA,1,1,2
"10",NA,2,3,2
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,0,-6,-6
"14",NA,0,-6,-6
"15",NA,2,1,0
"16",NA,0,0,0
"17",NA,NA,NA,NA
"18",NA,2,0,0
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,0,0,NA
"26",NA,NA,NA,NA
"27",NA,1,2,2
"28",NA,1,1,0
"29",NA,-1,1,2
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,1,NA,NA
"37",NA,NA,NA,NA
"38",NA,1,0,1
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,0,NA,1
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,1,0,0
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,0,NA,NA
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,1,-7,-7
"64",NA,0,0,0
"65",NA,1,-7,-7
"66",NA,NA,NA,NA
"67",NA,1,-7,-7
"68",NA,1,-7,-7
"69",NA,NA,NA,NA
"70",NA,355,332,327
"71",NA,238,215,206
"72",NA,85,72,66
"73",NA,NA,NA,NA
"74",NA,42,42,36
"75",NA,70,62,60
"76",NA,0,0,0
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,0,1,1
"81",NA,41,38,43
"82",NA,NA,NA,NA
"83",NA,118,117,121
"84",NA,91,91,92
"85",NA,NA,NA,NA
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",NA,20,21,25
"89",NA,NA,NA,NA
"90",NA,NA,NA,NA
"91",NA,0,0,0
"92",NA,NA,NA,NA
"93",NA,7,6,4
"94",NA,NA,NA,NA
"95",NA,151,137,140
"96",NA,110,95,98
"97",NA,NA,NA,NA
"98",NA,49,48,47
"99",NA,9,3,6
"100",NA,NA,5,NA
"101",NA,52,39,44
"102",NA,NA,NA,NA
"103",NA,NA,NA,NA
"104",NA,0,0,0
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",NA,0,0,0
"109",NA,NA,NA,NA
"110",NA,41,42,42
"111",NA,NA,NA,NA
"112",NA,4,3,3
"113",NA,0,1,0
"114",NA,NA,NA,NA
"115",NA,37,38,39
"116",NA,NA,NA,NA
"117",NA,NA,NA,NA
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",NA,204,195,187
"122",NA,204,195,187
"123",NA,200,200,200
"124",NA,NA,NA,NA
"125",NA,386,386,386
"126",NA,-26,-26,-26
"127",NA,11,9,7
"128",NA,-367,-375,-381
"129",NA,NA,NA,NA
"130",NA,8,6,12
"131",NA,1,-7,-7
"132",NA,NA,NA,NA
"133",NA,8,8,8
"134",NA,1,1,1
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",NA,5,5,5
"138",NA,NA,NA,NA
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,NA,NA
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",NA,1,1,1
"152",NA,NA,NA,NA
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",NA,NA,0,0
"164",NA,0,5,11
"165",NA,-1,19,6
"166",NA,1,-14,6
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",NA,8,6,12
"170",NA,0,0,0
"171",NA,NA,NA,NA
"172",NA,NA,NA,NA
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"175",NA,NA,0,0
"176",NA,0,NA,0
"177",NA,NA,NA,NA
"178",NA,-12,-5,-4
"179",NA,30,0,2
"180",NA,28,0,0
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,0,NA,0
"187",NA,NA,NA,NA
"188",NA,0,0,1
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,1,NA,NA
"193",NA,42,5,6
"194",NA,36,0,0
"195",NA,NA,NA,NA
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,1,NA
"200",NA,NA,NA,NA
"201",NA,7,5,7
"202",NA,NA,NA,NA
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,0,NA,NA
"206",NA,1,0,0
"207",NA,3,-3,-3
"208",NA,6,NA,NA
"209",NA,NA,NA,NA
"210",NA,6,NA,NA
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",NA,NA,NA,NA
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",NA,2,2,2
"221",NA,NA,NA,NA
"222",NA,NA,NA,NA
"223",NA,NA,NA,NA
"224",NA,1,1,1
"225",NA,2,2,2
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",NA,NA,NA,NA
"231",NA,0,-1,0
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",NA,1,0,0
"235",NA,0,-3,4
"236",NA,41,41,38
"237",NA,41,38,43
