"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",133,136,185,60,31,34
"매출원가",153,111,155,50,30,31
"매출총이익",-20,25,30,10,1,2
"판매비와관리비",44,21,25,7,7,11
"인건비",19,9,13,4,NA,NA
"유무형자산상각비",3,2,4,1,NA,NA
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",0,0,1,0,NA,NA
"판매비",5,0,0,0,NA,NA
"관리비",18,10,8,2,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",NA,NA,NA,NA,7,11
"영업이익",-64,4,5,4,-6,-8
"영업이익(발표기준)",-64,4,5,4,-6,-8
"금융수익",1,11,10,0,2,0
"이자수익",1,7,6,0,NA,NA
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",NA,4,3,0,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,1,0,0,NA,NA
"금융자산평가이익",NA,0,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,2,0
"금융원가",1,106,12,0,0,0
"이자비용",1,0,4,0,NA,NA
"외환손실",1,2,0,0,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,12,NA,NA,NA,NA
"금융자산평가손실",NA,91,9,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,0,0
"기타수익",1,1,3,0,0,10
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,NA,0,0,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
