"","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1127,1019,101,118,58
"매출원가",963,1088,92,98,75
"매출총이익",165,-69,9,20,-17
"판매비와관리비",115,180,25,31,28
"인건비",45,66,NA,21,7
"유무형자산상각비",12,8,NA,4,2
"연구개발비",19,23,NA,3,3
"광고선전비",0,0,NA,0,0
"판매비",2,3,NA,1,1
"관리비",38,79,NA,26,16
"기타원가성비용",NA,NA,NA,NA,NA
"기타",NA,NA,25,-25,NA
"영업이익",49,-249,-16,-11,-45
"영업이익(발표기준)",49,-249,-16,-11,-45
"금융수익",7,37,3,12,0
"이자수익",1,3,NA,1,0
"배당금수익",NA,NA,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,0,NA
"금융자산평가이익",2,12,NA,10,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA
"파생상품이익",4,22,NA,3,NA
"기타금융수익",NA,0,3,-3,NA
"금융원가",8,44,13,46,2
"이자비용",8,17,NA,12,1
"외환손실",NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA
"금융자산처분손실",NA,0,NA,12,NA
"금융자산평가손실",0,22,NA,29,1
"금융자산손상차손",NA,NA,NA,NA,NA
"파생상품손실",0,NA,NA,NA,NA
"기타금융원가",NA,5,13,-8,NA
"기타수익",24,22,1,0,13
"재고자산감모손실환입",NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA
"자산처분(폐기)이익",14,1,NA,NA,10
"자산평가이익",NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA
"임대료수익",2,0,NA,0,NA
"로열티수익",NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA
"기타비용",6,96,3,15,1
"재고자산감모손실",NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA
"자산처분(폐기)손실",2,0,NA,5,0
"자산평가손실",NA,NA,NA,NA,NA
"자산손상차손",1,33,NA,1,NA
"기타대손상각비",NA,12,NA,5,NA
"충당부채전입액",NA,44,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA
"세전계속사업이익",66,-330,-27,-60,-34
"법인세비용",14,17,NA,2,1
"계속영업이익",52,-347,-27,-61,-35
"중단영업이익",NA,NA,NA,NA,NA
"당기순이익",52,-347,-27,-61,-35
"지배주주순이익",52,-344,-27,-61,-35
"비지배주주순이익",0,-3,NA,NA,NA
"자산",864,807,648,536,437
"유동자산",514,395,227,233,185
"재고자산",166,52,33,21,27
"유동생물자산",NA,NA,NA,NA,NA
"유동금융자산",6,135,9,76,1
"매출채권및기타유동채권",190,118,67,128,122
"당기법인세자산",0,1,1,1,1
"계약자산",NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA
"기타유동자산",25,8,4,2,13
"현금및현금성자산",127,82,114,5,21
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA
"비유동자산",351,411,421,303,253
"유형자산",244,237,234,230,182
"무형자산",47,19,19,18,18
"비유동생물자산",NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA
"장기금융자산",34,134,136,48,47
"관계기업등지분관련투자자산",NA,NA,NA,NA,NA
"장기매출채권및기타비유동채권",9,10,7,1,3
"이연법인세자산",17,NA,NA,NA,NA
"장기당기법인세자산",NA,NA,NA,NA,NA
"기타비유동자산",NA,11,25,6,3
"기타금융업자산",NA,NA,NA,NA,NA
"부채",497,661,505,402,338
"유동부채",404,578,420,341,272
"단기사채",78,192,NA,15,15
"단기차입금",51,66,NA,142,83
"유동성장기부채",21,74,NA,31,28
"유동금융부채",5,41,290,6,5
"매입채무및기타유동채무",230,136,122,135,133
"유동종업원급여충당부채",NA,NA,NA,NA,NA
"기타단기충당부채",4,67,7,9,NA
"당기법인세부채",NA,NA,NA,2,2
"계약부채",NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA
"기타유동부채",16,2,1,2,6
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA
"비유동부채",93,83,86,61,67
"사채",NA,NA,NA,NA,NA
"장기차입금",93,76,NA,57,54
"비유동금융부채",NA,5,84,3,1
"장기매입채무및기타비유동채무",1,2,2,2,2
"비유동종업원급여충당부채",NA,NA,NA,NA,NA
"기타장기충당부채",NA,NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA,10
"기타금융업부채",NA,NA,NA,NA,NA
"자본",367,146,142,134,99
"지배기업주주지분",366,146,142,134,99
"자본금",59,151,151,151,301
"신종자본증권",NA,NA,NA,NA,NA
"자본잉여금",144,255,255,259,184
"기타자본",-19,-25,-25,49,-26
"기타포괄손익누계액",0,0,0,0,-1
"이익잉여금(결손금)",183,-235,-239,-324,-359
"비지배주주지분",1,NA,NA,NA,NA
"영업활동으로인한현금흐름",71,-194,6,-74,-49
"당기순손익",52,-347,-27,-61,-35
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA
"현금유출이없는비용등가산",49,199,1,71,6
"퇴직급여",NA,NA,NA,NA,NA
"종업원급여",NA,NA,NA,NA,NA
"주식보상비",1,1,NA,2,NA
"감가상각비",9,19,NA,8,2
"무형자산상각비",12,3,NA,1,1
"계약부채전입액",NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA
"기타의대손상각비",NA,12,NA,5,NA
"배당금지급",NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA
"사채상환손실",NA,5,NA,5,NA
"투자자산평가손실",NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA,NA
"관계기업관련손익",NA,0,NA,NA,NA
"(현금유입이없는수익등차감)",18,52,NA,24,10
"금융부채관련이익",NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA,NA
"종속회사관련이익",NA,8,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-7,13,38,-61,-10
"자산의감소(증가)",-44,134,86,-61,-8
"부채의증가(감소)",37,-121,-48,1,-2
"정부보조금등의변동",NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",76,-187,12,-75,-50
"기타영업활동으로인한현금흐름",-5,-7,-6,0,1
"이자수입",1,2,0,2,0
"이자지급(-)",-5,-7,-7,-1,1
"배당금수입",NA,NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA,NA
"법인세환입",NA,NA,1,0,NA
"법인세납부(-)",-1,-1,NA,NA,0
