"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",73656,81109,87262,25176,26438,26431
"매출원가",4396,4613,4988,506,599,609
"매출총이익",69262,76494,82274,24670,25841,25821
"판매비와관리비",55259,63150,69853,19955,20334,20406
"인건비",13931,16467,18082,4536,4381,4298
"유무형자산상각비",1914,2325,3734,887,880,882
"연구개발비",3799,3847,4315,1521,1206,1211
"광고선전비",7408,7621,8567,2131,2446,2352
"판매비",931,1286,781,188,239,268
"관리비",25901,30116,32287,8954,9174,9283
"기타원가성비용",70,149,47,17,5,26
"기타",1305,1331,2033,1712,2005,2085
"영업이익",14004,13341,12424,4720,5504,5412
"영업이익(발표기준)",14004,13341,12424,4720,5504,5412
"금융수익",3494,4483,4213,1222,892,721
"이자수익",901,1306,1347,254,203,177
"배당금수익",106,287,187,105,7,3
"외환이익",250,641,797,444,7,77
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",1062,581,506,40,26,8
"금융자산평가이익",95,409,802,131,33,68
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",904,5,1,33,-4,13
"기타금융수익",175,1248,572,215,617,373
"금융원가",2555,3627,3056,948,628,557
"이자비용",589,572,749,199,164,109
"외환손실",569,304,562,141,127,153
"대손상각비",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",91,150,263,102,11,12
"금융자산평가손실",130,893,883,195,10,37
"금융자산손상차손",336,0,0,0,0,0
"파생상품손실",797,1336,21,3,5,0
"기타금융원가",43,370,581,308,314,245
"기타수익",945,2032,1707,610,318,135
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,1,4,-1
"자산처분(폐기)이익",378,384,148,3,15,3
"자산평가이익",16,0,18,0,0,0
"자산손상차손환입",5,0,0,0,0,0
"임대료수익",66,79,9,0,0,0
"로열티수익",0,0,0,0,0,0
"수수료수익",5,4,7,3,0,0
"대손충당금환입",26,117,18,1,5,-1
"충당부채환입액",5,2,2,1,0,0
"기타비용",2979,2780,2074,213,285,283
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",0,0,0,6,0,2
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,1,20,0,41,1
"자산처분(폐기)손실",50,30,70,5,3,33
"자산평가손실",0,5,1,0,0,0
"자산손상차손",1397,1377,1008,0,81,18
"기타대손상각비",249,492,157,15,8,2
"충당부채전입액",2,0,9,0,0,0
"종속기업,공동지배기업및관계기업관련손익",-239,1484,60,218,57,261
"지분법손익",-280,-11,-14,171,89,230
"종속기업,공동지배기업및관계기업투자주식처분손익",-1,3,0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-17,0,0,0,0,0
"세전계속사업이익",12662,14932,13269,5610,5860,5686
"법인세비용",4317,5226,3738,1169,1527,1340
"계속영업이익",8346,9705,9533,4441,4332,4347
"중단영업이익",-218,-45,99,0,0,0
"당기순이익",8128,9661,9633,4441,4332,4347
"지배주주순이익",8094,9472,9436,4109,3993,3965
"비지배주주순이익",96,387,277,195,290,267
"자산",165674,172811,185948,199690,207156,215745
"유동자산",85635,82888,89774,81964,84145,87636
"재고자산",248,476,489,542,527,603
"유동생물자산",0,0,0,0,0,0
"유동금융자산",37729,37074,42880,43481,43560,45420
"매출채권및기타유동채권",12967,10846,11821,12894,12465,12322
"당기법인세자산",86,74,137,153,60,60
"계약자산",0,68,7,7,7,8
"반품(환불)자산",0,0,0,0,0,0
"배출권",0,0,0,0,0,0
"기타유동자산",2029,3247,2820,3031,3288,3504
"현금및현금성자산",31696,31061,31613,21853,24236,25714
"매각예정비유동자산및처분자산집단",881,41,2,2,2,2
"비유동자산",80036,89929,96172,117729,123006,128031
"유형자산",7720,11491,14453,14606,15075,15806
"무형자산",28591,34024,33633,34515,34138,33298
"비유동생물자산",0,0,0,0,0,0
"투자부동산",2578,4343,4137,4363,4429,4405
"장기금융자산",29396,28101,29335,31649,37166,41925
"관계기업등지분관련투자자산",7597,8285,8761,26629,26447,26948
"장기매출채권및기타비유동채권",1754,1091,1274,1232,1120,1101
"이연법인세자산",1914,2060,2189,2229,2261,2266
"장기당기법인세자산",0,0,0,0,0,0
"기타비유동자산",489,527,2394,2506,2366,2276
"기타금융업자산",0,0,0,0,0,74
"부채",38306,40340,45500,53330,51876,53068
"유동부채",24902,28336,27489,35328,36345,35868
"단기사채",10,1598,1122,937,857,746
"단기차입금",4343,3375,1752,8561,9689,8388
"유동성장기부채",1253,2217,1072,1032,1165,1216
"유동금융부채",1252,3147,4892,5218,5828,5671
"매입채무및기타유동채무",9278,10688,10387,10937,9494,10398
"유동종업원급여충당부채",510,502,554,293,388,538
"기타단기충당부채",118,123,216,148,184,197
"당기법인세부채",3458,2312,2177,2352,2735,2922
"계약부채",0,480,807,776,747,819
"반품(환불)부채",0,35,38,0,0,0
"배출부채",0,0,0,0,0,0
"기타유동부채",4501,3855,4471,5075,5255,4980
"매각예정으로분류된처분자산집단에포함된부채",179,0,1,1,1,1
"비유동부채",13402,12005,18011,18003,15533,17193
"사채",4713,2979,3134,5669,2641,2531
"장기차입금",199,2625,6139,2901,2009,2920
"비유동금융부채",3037,1155,2962,2702,2475,2380
"장기매입채무및기타비유동채무",246,483,780,888,990,981
"비유동종업원급여충당부채",771,1024,1306,1473,1811,1826
"기타장기충당부채",137,125,176,175,180,149
"이연법인세부채",3798,3269,3096,3690,4771,5769
"장기당기법인세부채",0,0,0,0,0,0
"기타비유동부채",497,319,299,389,471,435
"기타금융업부채",0,0,0,0,0,0
"자본",127368,132468,140446,146364,155280,162676
"지배기업주주지분",121254,125477,132622,138288,144182,151054
"자본금",3041,3228,3316,3341,3365,3278
"신종자본증권",0,0,48,48,48,48
"자본잉여금",78170,83039,83382,82551,82410,81341
"기타자본",-9285,-15401,-18547,-18981,-20500,-19351
"기타포괄손익누계액",7891,4699,5945,9086,12588,15051
"이익잉여금(결손금)",41818,50140,59042,62955,67038,71577
"비지배주주지분",5734,6762,7264,7366,10333,10734
"영업활동으로인한현금흐름",12956,10783,13864,3775,6599,6227
"당기순손익",8082,9642,9171,4379,4258,4003
"법인세비용차감전계속사업이익",199,291,613,102,126,566
"현금유출이없는비용등가산",12872,15007,13718,3429,3566,2993
"퇴직급여",596,734,792,214,222,241
"종업원급여",11,55,122,22,76,24
"주식보상비",229,333,284,53,34,30
"감가상각비",895,1036,2238,561,584,591
"무형자산상각비",1289,1509,1764,408,403,387
"계약부채전입액",0,0,0,0,0,0
"반품(환불)부채전입액",0,0,0,0,0,0
"배출부채전입액",0,0,0,0,0,0
"기타의대손상각비",260,439,158,15,8,6
"배당금지급",0,0,0,0,0,0
"금융부채관련손실",116,6,266,109,30,113
"사채상환손실",0,234,8,4,199,0
"투자자산평가손실",85,73,0,0,0,0
"자산재평가손실",0,0,3,1,-1,0
"지분법관련손실",345,208,262,27,23,18
"종속기업관련손실",24,23,113,0,0,3
"관계기업관련손익",523,395,357,29,32,12
"(현금유입이없는수익등차감)",4422,6649,5354,1597,1009,1022
"금융부채관련이익",113,85,301,1,0,0
"사채상환이익",8,19,6,0,0,0
"퇴직급여충당부채환입액",0,0,0,0,0,0
"계약부채환입액",0,0,0,0,0,0
"반품(환불)부채환입액",0,0,0,0,0,0
"배출부채환입액",0,0,0,0,0,0
"주식보상비환입",3,24,1,0,0,0
"투자자산평가이익",16,0,0,0,63,0
"자산재평가이익",0,0,0,0,0,0
"지분법관련이익",22,117,196,181,115,248
"종속회사관련이익",16,1270,537,0,4,8
"법인세수익",107,29,102,63,-1,-48
"영업활동으로인한자산부채변동(운전자본변동)",-965,-2139,-1151,-1752,859,725
"자산의감소(증가)",-1971,811,-780,-893,181,-414
"부채의증가(감소)",1004,-2951,-369,-823,644,1137
"정부보조금등의변동",0,0,0,0,0,0
"기타운전자본의변동",0,-5,0,-38,38,0
"*영업에서창출된현금흐름",15768,16144,16998,4561,7800,7263
"기타영업활동으로인한현금흐름",-2812,-5366,-3136,-789,-1203,-1041
"이자수입",817,1190,1392,319,254,226
"이자지급(-)",-343,-352,-394,-135,-132,-96
"배당금수입",103,289,188,4,164,3
"배당금지급(-)",0,0,0,0,0,0
"법인세환입",6,1,23,94,11,4
"법인세납부(-)",-3390,-6498,-4341,-1065,-1504,-1174
