"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",0,0,0,0,0,0
"매출원가",0,0,0,0,0,0
"매출총이익",0,0,0,0,0,0
"판매비와관리비",12767,15011,17257,5175,5165,3983
"인건비",0,0,0,0,0,0
"유무형자산상각비",0,0,0,0,0,0
"연구개발비",0,0,0,0,0,0
"광고선전비",0,0,0,0,0,0
"판매비",0,0,0,0,0,0
"관리비",0,0,0,0,0,0
"기타원가성비용",0,0,0,0,0,0
"기타",0,0,0,0,0,0
"영업이익",77980,76937,47654,17130,22313,16745
"영업이익(발표기준)",0,0,0,0,0,0
"금융수익",0,0,0,0,0,0
"이자수익",161731,169459,171989,42758,42067,42876
"배당금수익",20740,26078,29716,8531,6421,6540
"외환이익",0,0,0,0,0,0
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,451,0,475,-178,142
"금융자산처분이익",0,0,0,0,0,0
"금융자산평가이익",0,0,0,0,0,0
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",0,0,0,0,0,0
"기타금융수익",0,0,0,0,0,0
"금융원가",0,0,0,0,0,0
"이자비용",5791,6048,8766,2183,1696,1840
"외환손실",0,0,0,0,0,0
"대손상각비",4579,5873,7553,1594,2137,1372
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,803,0,102,196
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",0,0,0,0,0,0
"금융자산평가손실",0,0,0,0,0,0
"금융자산손상차손",0,0,0,0,0,0
"파생상품손실",0,0,0,0,0,0
"기타금융원가",0,0,0,0,0,0
"기타수익",0,0,0,0,0,0
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,101,702,19,84,-1
"자산처분(폐기)이익",0,0,0,0,0,0
"자산평가이익",0,0,0,0,0,0
"자산손상차손환입",6,10,34,7,1,3
"임대료수익",0,0,0,0,0,0
"로열티수익",0,0,0,0,0,0
"수수료수익",24378,18913,17970,4535,4636,4678
"대손충당금환입",0,0,0,0,0,0
"충당부채환입액",0,0,0,0,0,0
"기타비용",0,0,0,0,0,0
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,733,185,1368,-1368,117
"자산처분(폐기)손실",0,0,0,0,0,0
"자산평가손실",0,0,0,0,0,0
"자산손상차손",412,832,120,0,1,18
"기타대손상각비",0,0,0,0,0,0
"충당부채전입액",16,4,8,0,0,0
"종속기업,공동지배기업및관계기업관련손익",0,0,0,0,0,0
"지분법손익",0,0,0,0,0,0
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0,0,0
"세전계속사업이익",81746,75222,52090,16454,23191,19566
"법인세비용",20473,20051,13455,4136,5984,5242
"계속영업이익",61271,55170,38636,12317,17207,14323
"중단영업이익",0,0,0,0,0,0
"당기순이익",61271,55170,38636,12317,17207,14323
"지배주주순이익",51848,48929,32983,10236,15110,12310
"비지배주주순이익",5980,4354,4264,1121,1432,1704
"자산",7485033,7887434,8578056,8636041,8845825,8989961
"유동자산",0,0,0,0,0,0
"재고자산",0,0,0,0,0,0
"유동생물자산",0,0,0,0,0,0
"유동금융자산",0,0,0,0,0,0
"매출채권및기타유동채권",0,0,0,0,0,0
"당기법인세자산",7346,2044,9508,4848,1238,4780
"계약자산",0,0,0,0,0,0
"반품(환불)자산",0,0,0,0,0,0
"배출권",0,0,0,0,0,0
"기타유동자산",0,0,0,0,0,0
"현금및현금성자산",0,0,0,0,0,0
"매각예정비유동자산및처분자산집단",0,0,0,0,0,0
"비유동자산",0,0,0,0,0,0
"유형자산",63884,63357,66681,66406,66717,66116
"무형자산",42908,37464,34864,34227,33496,32814
"비유동생물자산",0,0,0,0,0,0
"투자부동산",139589,140415,134042,134879,136387,136930
"장기금융자산",0,0,0,0,0,0
"관계기업등지분관련투자자산",23275,22994,32683,36218,40425,33247
"장기매출채권및기타비유동채권",0,0,0,0,0,0
"이연법인세자산",1366,1978,2190,2059,1751,2076
"장기당기법인세자산",0,0,0,0,0,0
"기타비유동자산",0,0,0,0,0,0
"기타금융업자산",28890,28716,30246,31480,31933,32159
"부채",6716277,7080867,7625764,7717624,7860162,7961574
"유동부채",0,0,0,0,0,0
"단기사채",0,0,0,0,0,0
"단기차입금",0,0,0,0,0,0
"유동성장기부채",0,0,0,0,0,0
"유동금융부채",0,0,0,0,0,0
"매입채무및기타유동채무",0,0,0,0,0,0
"유동종업원급여충당부채",0,0,0,0,0,0
"기타단기충당부채",0,0,0,0,0,0
"당기법인세부채",5125,9552,3931,8514,4425,6618
"계약부채",0,0,0,0,0,0
"반품(환불)부채",0,0,0,0,0,0
"배출부채",0,0,0,0,0,0
"기타유동부채",0,0,0,0,0,0
"매각예정으로분류된처분자산집단에포함된부채",0,0,0,0,0,0
"비유동부채",0,0,0,0,0,0
"사채",0,0,0,0,0,0
"장기차입금",0,0,0,0,0,0
"비유동금융부채",0,0,0,0,0,0
"장기매입채무및기타비유동채무",0,0,0,0,0,0
"비유동종업원급여충당부채",5240,5825,6296,7769,8112,7219
"기타장기충당부채",0,0,0,0,0,0
"이연법인세부채",109838,94758,140119,123155,146340,157977
"장기당기법인세부채",0,0,0,0,0,0
"기타비유동부채",0,0,0,0,0,0
"기타금융업부채",154548,170299,188886,193842,198601,204079
"자본",768756,806564,952288,918416,985663,1028388
"지배기업주주지분",0,0,0,0,0,0
"자본금",74182,75790,77550,77550,77550,77550
"신종자본증권",8839,26317,31471,31471,33163,36621
"자본잉여금",39297,39406,41385,41841,41834,41843
"기타자본",-46897,-46985,-47728,-49302,-48797,-48989
"기타포괄손익누계액",241475,223466,337750,308816,357657,381856
"이익잉여금(결손금)",395344,429289,447403,444687,459282,471995
