"","X2017.12","X2018.12","X2019.12"
"매출액",1611,2112,2696
"매출원가",0,419,1043
"매출총이익",1611,1693,1653
"판매비와관리비",1588,1694,1751
"인건비",239,266,272
"유무형자산상각비",128,131,188
"연구개발비",0,0,0
"광고선전비",6,8,12
"판매비",12,4,4
"관리비",526,663,669
"기타원가성비용",587,506,500
"기타",91,116,105
"영업이익",23,-1,-98
"영업이익(발표기준)",23,-1,-98
"금융수익",20,49,196
"이자수익",19,39,24
"배당금수익",0,0,5
"외환이익",0,0,0
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",0,10,137
"금융자산평가이익",2,0,29
"금융자산손상차손환입",0,0,0
"파생상품이익",0,0,0
"기타금융수익",0,0,0
"금융원가",19,40,24
"이자비용",18,8,16
"외환손실",0,0,0
"대손상각비",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",0,0,0
"금융자산처분손실",0,10,3
"금융자산평가손실",0,22,4
"금융자산손상차손",0,0,2
"파생상품손실",0,0,0
"기타금융원가",0,0,0
"기타수익",41,14,20
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0
"자산처분(폐기)이익",0,2,1
"자산평가이익",0,0,0
"자산손상차손환입",0,0,0
"임대료수익",0,0,0
"로열티수익",0,0,0
"수수료수익",0,0,0
"대손충당금환입",0,0,0
"충당부채환입액",0,0,0
"기타비용",28,17,59
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0
"자산처분(폐기)손실",1,1,0
"자산평가손실",0,0,0
"자산손상차손",0,0,25
"기타대손상각비",12,0,1
"충당부채전입액",0,0,0
"종속기업,공동지배기업및관계기업관련손익",-4,-8,-5
"지분법손익",0,0,0
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",34,-2,31
"법인세비용",5,5,9
"계속영업이익",29,-7,22
"중단영업이익",0,0,0
"당기순이익",29,-7,22
"지배주주순이익",29,-7,26
"비지배주주순이익",0,0,-4
"자산",4182,4007,4483
"유동자산",2535,2272,2375
"재고자산",13,32,54
"유동생물자산",0,0,0
"유동금융자산",1693,1658,1423
"매출채권및기타유동채권",266,463,671
"당기법인세자산",0,0,0
"계약자산",0,7,9
"반품(환불)자산",0,0,0
"배출권",0,0,0
