"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1543983,1557821,1688576,409030,343154,450067
"매출원가",1273219,1320724,1413987,343337,288197,368833
"매출총이익",270765,237097,274589,65693,54958,81235
"판매비와관리비",219192,201599,220674,53455,48564,83264
"인건비",45767,45820,48079,11870,11714,11703
"유무형자산상각비",1403,1486,2280,564,569,554
"연구개발비",18332,20057,22178,5192,5624,5558
"광고선전비",37764,35514,38414,8911,6936,8750
"판매비",79827,63391,73320,18290,15085,48012
"관리비",20154,35066,36186,5134,8563,5012
"기타원가성비용",0,0,0,0,0,0
"기타",15947,266,216,3495,73,3677
"영업이익",51573,35498,53915,12240,6395,-2030
"영업이익(발표기준)",51573,35498,53915,12240,6395,-2030
"금융수익",14106,10925,10793,3169,3889,2955
"이자수익",6180,7322,7078,1436,1429,1600
"배당금수익",349,319,354,349,1,1
"외환이익",5898,2075,2303,709,1610,1223
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",0,0,0,0,0,0
"금융자산평가이익",1,0,0,0,0,0
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",1159,1006,985,661,833,105
"기타금융수익",519,201,76,13,18,27
"금융원가",14063,9463,8054,5642,4161,2665
"이자비용",5654,5255,5270,1433,1451,1387
"외환손실",3702,3760,2283,3842,1946,1187
"대손상각비",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",0,0,0,0,0,0
"금융자산평가손실",0,0,2,0,0,0
"금융자산손상차손",3734,0,0,0,0,0
"파생상품손실",390,448,489,327,699,34
"기타금융원가",582,0,9,41,66,55
"기타수익",18293,12928,18499,6749,6838,3861
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,0,0,0
"자산처분(폐기)이익",427,377,388,61,1238,103
"자산평가이익",0,0,0,0,0,0
"자산손상차손환입",0,0,0,0,0,0
"임대료수익",923,870,964,272,264,245
"로열티수익",0,0,0,0,0,0
"수수료수익",1297,1202,1082,53,165,117
"대손충당금환입",1,6,2,1,4,4
"충당부채환입액",0,0,0,0,0,14
"기타비용",23012,20557,21806,9307,5095,5627
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0,0,0,0
"자산처분(폐기)손실",2257,2336,1897,195,285,240
"자산평가손실",0,0,0,0,0,0
"자산손상차손",233,353,1855,769,0,0
"기타대손상각비",62,25,0,0,0,0
"충당부채전입액",0,0,0,0,0,0
"종속기업,공동지배기업및관계기업관련손익",7905,10230,10523,1025,114,1207
"지분법손익",0,5995,5707,0,0,0
"종속기업,공동지배기업및관계기업투자주식처분손익",0,-15,143,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,-1935,-422,0,0,0
"세전계속사업이익",54803,39562,63871,8235,7982,-2298
"법인세비용",587,12068,17007,1898,3037,-747
"계속영업이익",54214,27494,46862,6336,4942,-1552
"중단영업이익",0,0,0,0,0,0
"당기순이익",54214,27494,46862,6336,4942,-1552
"지배주주순이익",49080,26124,44808,5443,3439,-3023
"비지배주주순이익",5134,1369,2053,893,1504,1471
"자산",2334081,2353986,2528247,2573767,2631070,2718045
"유동자산",709663,677733,683492,683052,734518,782356
"재고자산",191299,183062,200647,204582,207567,192967
"유동생물자산",0,0,0,0,0,0
"유동금융자산",287089,239382,216211,196242,227125,234706
"매출채권및기타유동채권",106043,109976,112702,107221,100134,105111
"당기법인세자산",2274,3450,1960,2676,2587,2208
"계약자산",0,0,0,0,0,0
"반품(환불)자산",0,0,0,0,0,0
"배출권",0,0,0,0,0,0
"기타유동자산",16089,16574,20080,17890,18365,18716
"현금및현금성자산",106575,116619,131774,153633,178742,228591
"매각예정비유동자산및처분자산집단",291,8672,115,808,0,58
"비유동자산",1111909,1130360,1221247,1258017,1248844,1260763
"유형자산",450401,468541,500906,507749,508206,508328
"무형자산",75990,78058,81473,84442,84600,84796
"비유동생물자산",0,0,0,0,0,0
"투자부동산",2268,2165,1984,1975,1937,1899
"장기금융자산",33099,28746,45873,45872,38064,37134
"관계기업등지분관련투자자산",302923,305084,323111,335737,342085,348782
"장기매출채권및기타비유동채권",17186,12592,10826,10472,10651,10539
"이연법인세자산",16241,23491,29025,31571,29826,35648
"장기당기법인세자산",0,0,0,0,0,0
"기타비유동자산",213800,211685,228048,240201,233472,233636
"기타금융업자산",512510,545894,623508,632697,647708,674928
"부채",1308033,1332950,1467805,1521948,1576411,1664939
"유동부채",597898,655667,720933,733659,751065,818349
"단기사채",837,373,91,93,992,758
"단기차입금",132261,139040,143406,145506,171192,179680
"유동성장기부채",140215,150524,171547,181068,189183,183017
"유동금융부채",397,638,1585,2948,1923,1961
"매입채무및기타유동채무",270141,286306,310745,295415,293632,317858
"유동종업원급여충당부채",12,27,21,20,20,20
"기타단기충당부채",30020,47093,55308,57074,55966,89981
