"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",337391,397409,426905,105663,100405,127378
"매출원가",281506,319926,347761,86783,82515,103674
"매출총이익",55878,77484,79137,18876,17886,23707
"판매비와관리비",40876,49279,55279,13780,13032,13756
"인건비",13555,16014,16289,4390,3681,3306
"유무형자산상각비",2678,2933,3346,854,797,670
"연구개발비",10833,13545,15236,4021,3893,4717
"광고선전비",162,265,286,66,67,56
"판매비",3308,3268,3984,985,773,1165
"관리비",6931,8564,8889,2395,2029,2038
"기타원가성비용",0,0,0,0,0,0
"기타",3411,4685,7241,1073,1790,1794
"영업이익",15005,28197,23869,5095,4852,9952
"영업이익(발표기준)",15005,28197,23869,5095,4852,9952
"금융수익",5161,6955,6377,3239,1627,1355
"이자수익",582,678,882,204,136,124
"배당금수익",15,21,19,9,6,2
"외환이익",4081,4195,4627,2859,1007,1154
"대손충당금환입액",0,11,1,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",217,95,134,12,20,34
"금융자산평가이익",70,1290,227,16,50,11
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",168,617,414,86,260,-12
"기타금융수익",25,41,70,53,105,36
"금융원가",7283,8740,9844,4187,2555,2241
"이자비용",2483,3396,4003,808,822,716
"외환손실",4360,4422,4676,2565,1210,1223
"대손상각비",35,40,0,279,134,-1
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",2,3,2,0,0,0
"금융자산처분손실",9,47,21,14,8,6
"금융자산평가손실",26,203,270,100,1,-19
"금융자산손상차손",24,11,0,0,0,0
"파생상품손실",305,452,729,220,116,130
"기타금융원가",41,168,143,194,263,185
"기타수익",7368,7878,6708,2898,1122,1542
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,1,8,1,2,1
"자산처분(폐기)이익",1150,641,1064,35,47,40
"자산평가이익",3,4,16,3,8,7
"자산손상차손환입",0,2,31,3,16,4
"임대료수익",92,92,90,19,20,34
"로열티수익",0,0,0,0,0,0
"수수료수익",23,5,24,6,13,19
"대손충당금환입",15,58,97,7,8,0
"충당부채환입액",2,41,5,1,1,1
"기타비용",9041,9041,9534,2424,1836,2160
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",22,24,7,1,6,3
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,1,4,7,19,19
"자산처분(폐기)손실",697,1121,928,140,215,121
"자산평가손실",1,4,9,6,0,3
"자산손상차손",1600,1552,2797,72,229,381
"기타대손상각비",115,301,100,2,15,2
"충당부채전입액",38,11,69,1,1,0
"종속기업,공동지배기업및관계기업관련손익",7114,2928,1965,-365,292,557
"지분법손익",7054,3212,1834,-369,321,554
"종속기업,공동지배기업및관계기업투자주식처분손익",112,-83,259,0,-1,-1
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,-2,0,-3,0
"세전계속사업이익",18316,28169,19534,4252,3496,9008
