"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",70288,67424,71421,75610
"매출원가",37643,40645,42215,46834
"매출총이익",32642,26780,29209,28779
"판매비와관리비",32053,23309,25805,24798
"인건비",9045,7167,6690,6745
"유무형자산상각비",788,569,518,535
"연구개발비",5853,4146,4583,5081
"광고선전비",2555,1662,2047,2008
"판매비",2621,2263,2178,2155
"관리비",6616,5764,5323,5340
"기타원가성비용",6889,545,1790,0
"기타",-2319,1192,2666,2941
"영업이익",597,3468,3400,3981
"영업이익(발표기준)",649,3509,3434,3870
"금융수익",577,1085,1426,1460
"이자수익",466,206,136,157
"배당금수익",46,18,5,10
"외환이익",215,434,29,16
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,6,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",-8,0,0,0
"금융자산처분이익",152,31,136,728
"금융자산평가이익",308,60,605,376
"금융자산손상차손환입",0,0,0,0
"파생상품이익",150,93,54,29
"기타금융수익",-754,240,445,137
"금융원가",632,1820,1047,1132
"이자비용",1156,638,596,528
"외환손실",355,192,125,159
"대손상각비",-5,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,13,0,0
"매출채권처분손실",11,6,5,5
"금융자산처분손실",46,10,27,15
"금융자산평가손실",-228,581,-185,41
"금융자산손상차손",27,15,10,0
"파생상품손실",75,93,195,161
"기타금융원가",-800,272,272,223
"기타수익",1095,1985,673,702
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",17,7,2,22
"자산처분(폐기)이익",55,1361,26,125
"자산평가이익",97,0,20,0
"자산손상차손환입",10,0,4,0
"임대료수익",55,27,26,26
"로열티수익",0,0,0,0
"수수료수익",37,10,14,12
"대손충당금환입",20,37,3,15
"충당부채환입액",2,3,-1,-4
"기타비용",3234,472,673,687
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",31,9,3,12
"당기손익-공정가치측정<U+00A0>금융자산평가손실",-1,6,-4,-2
"자산처분(폐기)손실",86,3,16,90
"자산평가손실",2,18,29,5
"자산손상차손",2341,7,19,49
"기타대손상각비",97,5,16,19
"충당부채전입액",-43,0,5,81
"종속기업,공동지배기업및관계기업관련손익",782,154,322,431
"지분법손익",0,173,46,230
"종속기업,공동지배기업및관계기업투자주식처분손익",-2,-1,2,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",-809,4406,4099,4758
"법인세비용",353,1419,1468,1233
"계속영업이익",-1166,2988,2634,3529
"중단영업이익",210,-4,11,-162
"당기순이익",-956,2983,2644,3368
"지배주주순이익",-1026,2382,1825,2301
"비지배주주순이익",-255,305,455,663
"자산",398114,400616,425216,439304
"유동자산",183742,186389,202578,212328
"재고자산",50663,53124,57560,57880
"유동생물자산",4,4,4,4
"유동금융자산",26763,25607,26985,33879
"매출채권및기타유동채권",67635,64518,65246,68604
"당기법인세자산",139,121,22,132
"계약자산",226,148,232,275
"반품(환불)자산",500,376,405,381
"배출권",0,0,4,0
"기타유동자산",3598,4253,4097,4411
"현금및현금성자산",32958,37362,47236,42882
"매각예정비유동자산및처분자산집단",1255,871,780,3872
"비유동자산",214377,214232,222638,226971
"유형자산",126829,127033,129135,128548
"무형자산",22670,22876,25129,25564
"비유동생물자산",0,0,0,0
"투자부동산",11072,10997,10896,10924
"장기금융자산",18527,18525,21048,25418
"관계기업등지분관련투자자산",23423,22983,24349,24922
"장기매출채권및기타비유동채권",1768,1734,2201,1679
"이연법인세자산",5278,5413,5047,5253
"장기당기법인세자산",95,95,95,95
"기타비유동자산",4605,4442,4598,4444
"기타금융업자산",0,0,0,0
"부채",155409,158787,170334,171312
"유동부채",101779,104037,112878,114213
"단기사채",2458,2294,2095,1729
"단기차입금",30654,36398,44257,41610
"유동성장기부채",13200,9847,10639,12562
"유동금융부채",2340,3033,2808,2777
"매입채무및기타유동채무",42655,41249,41826,41345
"유동종업원급여충당부채",487,41,67,45
"기타단기충당부채",2033,1988,1837,1894
"당기법인세부채",2436,2953,3004,3848
"계약부채",1424,1066,1008,1406
"반품(환불)부채",1462,1140,1414,1300
"배출부채",5,6,8,4
"기타유동부채",2619,3867,3794,3713
"매각예정으로분류된처분자산집단에포함된부채",11,149,127,1974
"비유동부채",53637,54744,57448,57103
"사채",19382,20337,17910,15824
"장기차입금",14888,14567,19553,17647
"비유동금융부채",3961,3750,3690,5264
"장기매입채무및기타비유동채무",1927,1930,1447,2342
"비유동종업원급여충당부채",7286,7922,8436,8984
"기타장기충당부채",688,757,824,941
"이연법인세부채",3868,3696,3877,4505
"장기당기법인세부채",0,0,0,0
"기타비유동부채",328,1216,1147,1062
"기타금융업부채",0,0,0,0
"자본",242705,241835,254881,267987
"지배기업주주지분",181126,179591,191614,202341
"자본금",18810,18846,19199,20264
"신종자본증권",350,350,350,350
"자본잉여금",91020,88169,97716,103046
"기타자본",-10785,-10660,-11026,-10804
"기타포괄손익누계액",4479,4385,5803,7951
"이익잉여금(결손금)",110973,112810,114011,117162
"비지배주주지분",27864,27943,28828,30021
"영업활동으로인한현금흐름",3368,3224,3080,3494
"당기순손익",-989,3026,2569,3418
"법인세비용차감전계속사업이익",165,-31,155,72
"현금유출이없는비용등가산",9215,7691,6990,6935
"퇴직급여",980,845,883,887
"종업원급여",133,23,25,41
"주식보상비",31,32,49,46
"감가상각비",3067,2140,2532,2309
"무형자산상각비",409,258,268,371
"계약부채전입액",10,0,0,0
"반품(환불)부채전입액",11,0,2,1
"배출부채전입액",0,0,0,0
"기타의대손상각비",72,9,16,12
"배당금지급",50,0,0,0
"금융부채관련손실",-23,44,2,-6
"사채상환손실",12,2,2,0
"투자자산평가손실",1,18,29,5
"자산재평가손실",0,0,0,0
"지분법관련손실",408,118,131,-13
"종속기업관련손실",3,1,-1,0
"관계기업관련손익",378,87,49,-35
"(현금유입이없는수익등차감)",3426,3040,1834,1935
"금융부채관련이익",14,2,0,1
"사채상환이익",6,8,38,-35
"퇴직급여충당부채환입액",0,3,-3,0
